Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cameroon,,,,,,,,,,,,,41.22465134,,39.36806395,38.23686094,39.11413759,,,,,50.45545737,48.72822486,48.95752124,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,9.529509544,3.932450056,2.87684989,2.946640015,1.692989945,2.586699963,0.672720015,2.08197999,1.389750004,2.334700108,3.894040108,4.287119865,3.900500059,3.464790106,2.87680006,1.963140011,1.693480015,3.70739007,,
Comoros,,,,,,,,,,,,,,26.90924476,25.93142303,,,25.4273441,12.64115712,,,38.66246599,,,25.22555506
Cabo Verde,,,2.845040083,4.195240021,6.047410011,3.148089886,4.745379925,6.963339806,,8.870699883,,,8.463404017,6.159937687,4.301881647,2.930481283,1.573541196,3.146979914,5.484055484,6.881156545,6.688417618,6.01756014,48.16100914,,
Costa Rica,,,,,,,,,,,,12.34504986,12.66996002,12.80016994,12.24880981,12.49989033,11.34407997,13.95444012,9.010020256,7.581459999,10.78880978,8.478859901,4.425580025,6.331659794,
Cuba,2.01838994,3.065829992,0.906960011,,,1.759750009,2.468689919,3.28034997,3.572949886,5.374090195,3.986327137,4.157531619,3.640933201,5.51219397,5.531296878,5.79733419,4.089827186,4.130910227,3.728280992,5.55288559,6.616230011,6.813279038,7.36156613,6.734363388,7.968418546
Cayman Islands,,18.85964966,6.548429966,,6.511060238,,5.70070982,,,,,5.281690141,5.269058296,4.574468085,,,,,8.966861598,4.356060028,6.129920006,4.244029999,4.411759853,4.373927959,2.493551161
Cyprus,4.78565979,3.797620058,0.139980003,0.07502,,,1.233389974,2.130789995,2.561909914,2.535599947,3.837300062,4.070380211,0.649569988,,,1.904039979,2.24890995,,,,,,,,
Czechia,,0.624899983,,,,,,,1.341830015,,,,,0.113119997,0.145960003,0.192900002,0.296909988,0.203979999,0.719500005,1.392210007,1.95073998,,,0.440259993,
Germany,,,1.834390044,1.770179987,1.457010031,1.162660003,1.082890034,0.954840004,0.938920021,0.794910014,1.075399995,2.190809965,0.432080001,0.564939976,0.538800001,0.824940026,1.537889957,1.122380018,1.003010035,1.008020043,0.973959982,0.139009997,0.935519993,0.233160004,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,4.463439941,,,,,2.876980066,,,1.671020031,,,,,,7.272729874,,,,,,,,12.15021992,
Denmark,1.814110041,6.371550083,2.143680096,,0.964739978,0.167319998,2.409940004,0.981490016,0.922439992,0.931519985,1.02015996,0.786660016,0.863799989,0.647889972,0.758180022,0.643450022,0.816760004,0.668340027,0.693009973,0.551729977,0.477100015,0.567900002,0.815989971,1.039759994,
Dominican Republic,15.08469963,,,,6.268050194,5.27545023,,4.970610142,3.009310007,9.428090096,9.519572028,7.890062634,7.931702968,3.371700048,3.128070116,,5.680782572,8.140142932,10.19637436,5.707374176,7.337045529,15.65006136,10.69174004,9.208809853,8.157462471
Algeria,,,,,,,,,,,6.605807277,7.201231861,6.292671564,5.681820214,5.204286719,5.371018439,5.296616668,4.856074957,4.711857855,6.158754079,1.536334157,5.621826623,6.581125384,4.509914286,
Ecuador,29.99054909,29.81030083,29.9093399,29.72145081,,27.83628082,26.49352074,26.14258003,,16.92782021,14.5851912,15.01602894,10.10363645,3.414629971,,1.46404686,4.543078557,8.371110218,8.963500644,7.81848659,3.926504528,3.346617532,1.112773772,12.62133267,
"Egypt, Arab Rep.",,,,21.43675995,21.73428917,,,,,,,,,,19.95996035,,17.39945789,17.74709987,17.1180706,15.66947705,13.5437976,9.534323199,,7.860356173,6.185191639
Eritrea,36.69437027,39.58332825,37.4666214,35.10163879,38.9041481,38.88824081,40.65975952,41.96408081,40.48714828,43.35216141,44.38800812,46.23302078,46.45943832,48.22563171,47.03554153,44.54124832,,40.84994888,40.21633148,,,,42.22333908,,
Spain,,,,,,,,,,,,1.387030005,2.024679899,2.132250071,2.434959888,2.693039894,2.848279953,2.7379601,2.566129923,2.468569994,2.556760073,2.511490107,2.346349955,2.13932991,
Estonia,,,,,,,,,,,,,,,1.447160006,2.078799963,2.190840006,2.295929909,2.097160101,1.991099954,2.104059935,2.007329941,1.605129957,1.947309971,
Ethiopia,73.23130035,71.00508881,68.72216797,66.99031067,64.50514984,61.02268982,56.26192856,53.25146103,50.67996979,49.90898895,46.46691895,46.34294891,43.37221146,,50.02451804,50.57912827,,,,,,,51.43274308,52.38951708,54.15096433
Finland,0.858269989,0.480479985,0.768069983,0.782620013,0.63665998,0.649950027,0.476139992,0.629050016,0.593119979,0.830299973,0.738359988,0.848590016,0.954890013,1.001019955,1.205559969,1.171360016,0.808830023,0.622770011,0.71924001,0.788839996,1.109990001,1.286759973,1.689960003,1.069759965,
Fiji,9.656780243,11.11203003,8.89605999,26.23480988,7.306310177,,2.918100119,3.270620108,,6.666279793,,6.551549911,7.012310028,4.810848955,,,5.024767802,,,,,,,,
France,4.855559826,5.148869991,5.474619865,5.462309837,5.507190228,0.711820006,0.838190019,1.110450029,0.78433001,0.682150006,0.564689994,1.380390048,1.478489995,1.652310014,2.396610022,1.881899953,1.495000005,1.175709963,0.958540022,0.625020027,0.00163,,0.10864,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,13.39321995,,16.6325312,16.47634253,36.84848546,29.11954627,23.69966644,21.0950786,15.68627293,19.1011235,21.61590401
Gabon,,,,,,,,,,,,,,,,,,,,34.7311557,,,,,
United Kingdom,0.741739988,0.108800001,,0.186729997,,,0.294330001,2.45656991,1.288110018,,,1.673560023,4.977300167,1.243129969,1.474460006,1.694990039,,1.092020035,1.566380024,1.643839955,1.030169964,1.109920025,0.973860025,1.173629999,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,45.04972076,45.07093811,40.76811981,40.20771027,,29.37966919,21.94282913,24.3553791,21.22263908,20.2881794,,,,16.34233093,17.92763016,14.07833958,16.66832661,16.55405411,19.64566323,13.92189418,11.70379212,8.064399719,,,
Guinea,,77.47942352,73.81555176,,69.81079102,66.02606201,63.80430984,,,,,61.719841,,,59.78136063,,,,,,,,,,
